=== AHC 066 Comparison Report ===
Code A: temp.cpp
Code B: A_submit.cpp
------------------------------------------------------------
【ケース別結果】
Case 0234.txt | A:    145 [完走] (0.31s) | B:    145 [完走] (0.29s) | 引き分け (差: 0)
Case 0235.txt | A:    133 [完走] (0.31s) | B:    133 [完走] (0.29s) | 引き分け (差: 0)
Case 0236.txt | A:    126 [完走] (0.27s) | B:    126 [完走] (0.27s) | 引き分け (差: 0)
Case 0237.txt | A:    138 [完走] (0.28s) | B:    138 [完走] (0.28s) | 引き分け (差: 0)
Case 0238.txt | A:    296 [完走] (0.59s) | B:    296 [完走] (0.59s) | 引き分け (差: 0)
Case 0239.txt | A:    111 [完走] (0.25s) | B:    111 [完走] (0.23s) | 引き分け (差: 0)
Case 0240.txt | A:     94 [完走] (0.21s) | B:     94 [完走] (0.21s) | 引き分け (差: 0)
Case 0241.txt | A:    422 [完走] (0.89s) | B:    422 [完走] (0.89s) | 引き分け (差: 0)
Case 0242.txt | A:    337 [代替] (0.38s) | B:    440 [代替] (0.37s) | A 勝利 (差: 103)
Case 0243.txt | A:     87 [完走] (0.18s) | B:     87 [完走] (0.18s) | 引き分け (差: 0)
Case 0244.txt | A:    163 [完走] (0.37s) | B:    163 [完走] (0.36s) | 引き分け (差: 0)
Case 0245.txt | A:    129 [完走] (0.31s) | B:    129 [完走] (0.30s) | 引き分け (差: 0)
Case 0246.txt | A:    282 [完走] (0.62s) | B:    282 [完走] (0.64s) | 引き分け (差: 0)
Case 0247.txt | A:    112 [完走] (0.27s) | B:    112 [完走] (0.25s) | 引き分け (差: 0)
Case 0248.txt | A:    627 [代替] (0.69s) | B:    764 [代替] (0.68s) | A 勝利 (差: 137)
Case 0249.txt | A:    217 [完走] (0.46s) | B:    217 [完走] (0.44s) | 引き分け (差: 0)
Case 0250.txt | A:     82 [完走] (0.19s) | B:     82 [完走] (0.17s) | 引き分け (差: 0)
Case 0251.txt | A:    408 [完走] (0.85s) | B:    408 [完走] (0.87s) | 引き分け (差: 0)
Case 0252.txt | A:    298 [完走] (0.58s) | B:    298 [完走] (0.55s) | 引き分け (差: 0)
Case 0253.txt | A:    266 [完走] (0.55s) | B:    266 [完走] (0.55s) | 引き分け (差: 0)
Case 0254.txt | A:    140 [完走] (0.32s) | B:    140 [完走] (0.31s) | 引き分け (差: 0)
Case 0255.txt | A:    197 [完走] (0.44s) | B:    197 [完走] (0.44s) | 引き分け (差: 0)
Case 0256.txt | A:     86 [完走] (0.19s) | B:     86 [完走] (0.18s) | 引き分け (差: 0)
Case 0257.txt | A:    135 [完走] (0.29s) | B:    135 [完走] (0.29s) | 引き分け (差: 0)
